event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-01 00:02:14 UTC,purchase,1004856,2053013555631882655,electronics.smartphone,samsung,130.76,543272936,8187d148-3c41-46d4-b0c0-9c08cd9dc564
2019-10-01 00:04:37 UTC,purchase,1002532,2053013555631882655,electronics.smartphone,apple,642.69,551377651,3c80f0d6-e9ec-4181-8c5c-837a30be2d68
2019-10-01 00:07:07 UTC,purchase,13800054,2053013557418656265,furniture.bathroom.toilet,santeri,54.42,555332717,1dea3ee2-2ded-42e8-8e7a-4e2ad6ae942f
2019-10-01 00:09:26 UTC,purchase,4804055,2053013554658804075,electronics.audio.headphone,apple,189.91,524601178,2af9b570-0942-4dcd-8f25-4d84fba82553
2019-10-01 00:09:54 UTC,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,161.98,551377651,3c80f0d6-e9ec-4181-8c5c-837a30be2d68
2019-10-01 00:10:08 UTC,purchase,1002524,2053013555631882655,electronics.smartphone,apple,515.67,524325294,0b74a829-f9d7-4654-b5b0-35bc9822c238
2019-10-01 00:10:56 UTC,purchase,6200687,2053013552293216471,appliances.environment.air_heater,oasis,28.03,548691404,b67cdbcb-b073-4271-b365-803c6fce53b0
2019-10-01 00:12:14 UTC,purchase,4802036,2053013554658804075,electronics.audio.headphone,apple,171.56,533624186,e5ac3caa-e6d5-4d6b-ae06-2c18cd9ca683
2019-10-01 00:14:14 UTC,purchase,1004932,2053013555631882655,electronics.smartphone,vivo,463.31,555083442,83d12d1a-5452-4fa0-abbb-d9f492f8b562
2019-10-01 02:19:10 UTC,purchase,1004246,2053013555631882655,electronics.smartphone,apple,736.18,515246296,b7dbae4f-cad3-463e-89ce-41990cf48dea
2019-10-01 02:19:34 UTC,purchase,1005104,2053013555631882655,electronics.smartphone,apple,975.57,555160488,a1395546-c124-456c-9752-0f5cf883c63d
2019-10-01 02:20:11 UTC,purchase,4804055,2053013554658804075,electronics.audio.headphone,apple,189.91,517129864,df8afa49-66e0-4e54-b9ca-4be6de5c9a0f
2019-10-01 02:20:16 UTC,purchase,4700419,2053013560899928785,auto.accessories.videoregister,sho-me,141.86,512550575,84f21dc3-df18-4cf3-accd-bcd9655891ca
2019-10-01 02:20:20 UTC,purchase,4804295,2053013554658804075,electronics.audio.headphone,xiaomi,23.13,540557704,0c990471-9407-4292-a6df-0cbc2f722a40
2019-10-01 02:20:33 UTC,purchase,1003316,2053013555631882655,electronics.smartphone,apple,946.97,516198933,e1050ba4-5425-4b8e-9cc8-194878031718
2019-10-01 02:21:02 UTC,purchase,1004659,2053013555631882655,electronics.smartphone,samsung,787.18,555168263,d068d08f-aaf3-4949-b031-cdaf49a5c7cf
2019-10-01 02:21:59 UTC,purchase,4804501,2053013554658804075,electronics.audio.headphone,ritmix,3.37,514127317,b332ec72-5344-49e5-a3d5-27507b726259
2019-10-01 02:22:11 UTC,purchase,1004750,2053013555631882655,electronics.smartphone,samsung,197.43,555110488,ce885079-4d92-4fe6-92a3-377c5a2d8291
2019-10-01 02:22:23 UTC,purchase,1307135,2053013558920217191,computers.notebook,hp,320.35,514805015,104dc3e4-d6ff-4f00-9031-c0468e75ed4c
2019-10-01 02:22:29 UTC,purchase,1500021,2053013552955916539,computers.peripherals.printer,epson,116.73,513489079,63de1120-9d48-45d0-b024-500d1b95d71f
2019-10-01 02:22:31 UTC,purchase,5100719,2053013553341792533,electronics.clocks,samsung,151.61,549614436,129d379f-0137-4bd5-bf30-90c4c7bef7c8
